"Data","#BR: Rio de Janeiro"
"2020-06-14 00:00:00",736
"2020-06-15 00:00:00",1374
"2020-06-16 00:00:00",2397
"2020-06-17 00:00:00",3620
"2020-06-18 00:00:00",354
"2020-06-19 00:00:00",6061
"2020-06-20 00:00:00",2159
"2020-06-21 00:00:00",596
"2020-06-22 00:00:00",1439
"2020-06-23 00:00:00",3297
"2020-06-24 00:00:00",2624
"2020-06-25 00:00:00",2404
"2020-06-26 00:00:00",2600
"2020-06-27 00:00:00",306
"2020-06-28 00:00:00",2495
"2020-06-29 00:00:00",585
"2020-06-30 00:00:00",728
"2020-07-01 00:00:00",2667
"2020-07-02 00:00:00",1545
"2020-07-03 00:00:00",2133
"2020-07-04 00:00:00",1472
"2020-07-05 00:00:00",864
"2020-07-06 00:00:00",587
"2020-07-07 00:00:00",2207
"2020-07-08 00:00:00",2243
"2020-07-09 00:00:00",1995
"2020-07-10 00:00:00",1119
"2020-07-11 00:00:00",232
"2020-07-12 00:00:00",9
"2020-07-13 00:00:00",2360
"2020-07-14 00:00:00",778
"2020-07-15 00:00:00",1627
"2020-07-16 00:00:00",124
"2020-07-17 00:00:00",657
"2020-07-19 00:00:00",3294
"2020-07-20 00:00:00",2481
"2020-07-21 00:00:00",4116
"2020-07-22 00:00:00",3502
"2020-07-23 00:00:00",2926
"2020-07-24 00:00:00",3330
"2020-07-25 00:00:00",1414
"2020-07-26 00:00:00",32
"2020-07-27 00:00:00",1509
"2020-07-28 00:00:00",1805
"2020-07-29 00:00:00",2008
"2020-07-30 00:00:00",1995
"2020-07-31 00:00:00",1853
"2020-08-01 00:00:00",1718
"2020-08-02 00:00:00",12
"2020-08-03 00:00:00",839
"2020-08-04 00:00:00",847
"2020-08-05 00:00:00",3768
"2020-08-06 00:00:00",1385
"2020-08-07 00:00:00",1632
"2020-08-08 00:00:00",2828
"2020-08-09 00:00:00",326
"2020-08-10 00:00:00",1166
"2020-08-11 00:00:00",2547
"2020-08-12 00:00:00",3047
"2020-08-13 00:00:00",2475
"2020-08-14 00:00:00",1806
"2020-08-15 00:00:00",723
"2020-08-16 00:00:00",3665
"2020-08-17 00:00:00",372
"2020-08-18 00:00:00",4829
"2020-08-19 00:00:00",3513
"2020-08-20 00:00:00",2923
"2020-08-21 00:00:00",1120
"2020-08-22 00:00:00",3428
"2020-08-23 00:00:00",484
"2020-08-24 00:00:00",412
"2020-08-25 00:00:00",2643
"2020-08-26 00:00:00",2672
"2020-08-27 00:00:00",2523
"2020-08-29 00:00:00",3759
"2020-08-30 00:00:00",345
"2020-08-31 00:00:00",329
"2020-09-01 00:00:00",3169
"2020-09-02 00:00:00",1532
"2020-09-03 00:00:00",1939
"2020-09-04 00:00:00",2218
"2020-09-05 00:00:00",258
"2020-09-06 00:00:00",71
"2020-09-07 00:00:00",234
"2020-09-08 00:00:00",321
"2020-09-09 00:00:00",500
"2020-09-10 00:00:00",940
"2020-09-11 00:00:00",5640
"2020-09-12 00:00:00",323
"2020-09-13 00:00:00",1715
"2020-09-14 00:00:00",320
"2020-09-15 00:00:00",1607
"2020-09-16 00:00:00",1764
"2020-09-17 00:00:00",661
"2020-09-18 00:00:00",2955
"2020-09-19 00:00:00",1463
"2020-09-20 00:00:00",648
"2020-09-21 00:00:00",137
